OBJECTID,Join_Count,TARGET_FID,JOIN_FID,COUNT_,SUM_Acres_Restored,CODE,Project_Number,Project_Name,Treatment_ID,Year_Start,Year_End,COMPLETION_DATE,longitude,latitude,State,County,Database_,Site_Name,Refuge_Name,FS_UNIT_NAME,Acres_Restored,Activity,Management_Type,Subcategory,Treatment,Project_Description,Landowner_type,Lead_Organization,Federal_Project_Partner,non_federal_partners,PARTNER_NAME,Species_mentioned,Plant_species,AFFECTED_Z,Notes,DFP_Notes,Shape__Area,Shape__Length
4304,1,1065,2612,20,51,PADUS1997,,,,2020,,,-122.02624736,39.15283861,CA,,PADUS,"Wetlands Reserve Program (WRP), Colusa, California",,,12,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00440240228908806,0.250337729826514
4305,1,1066,3808,1,465,FS1528,,,,,2017,5/10/2017,-121.839694,43.60553035,OR,Klamath,FS,R060102 5Buttes Underburn-465ac,,DESCHUTES NATIONAL FOREST,465,Maintenance,Fuels,Prescribed Fire,R060102 5Buttes Underburn-465ac,OBSOLETE-Hazardous Fuel Reduction,,,,,,Pollinator,,R060102 5Buttes Underburn-465ac AZ,,Lat/long is centroid of polygon,0.00471199033745506,0.260686601385938
4306,1,1067,8456,1,160,ORWRI547,17476,Oak Springs Rangeland Improvement,,2015,2015,,-121.09766731,45.21798315,OR,Wasco,ORWRI,Lower White River,,,160,Maintenance,Upland,Upland invasive plant control,,"Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00484136581144412,0.264915734245413
4307,1,1068,8576,1,17,ORWRI669,19847,Voelz Upland Forest Restoration,,2017,2017,,-118.14967378,45.37872804,OR,Union,ORWRI,Haywire Canyon-Grande Ronde River,,,17,Maintenance,Upland,Upland vegetation management,,Other upland vegetation management,,Private Landowner,,Private Landowner,,,,,,lat/long is centroid of county,0.00485346378172835,0.265339084184411
4308,1,1069,3382,2,3041,FS1095,,,,,2014,5/15/2014,-120.9107013,42.39279391,OR,Klamath,FS,Bly Rx Hazardous Fuels Reduction 2014,,FREMONT-WINEMA NATIONAL FORESTS,796.1837,Maintenance,Fuels,Prescribed Fire,061201 2019 OSB HandMeadow 18,Brush Disposal,,,,,,Pollinator,,Bly Rx Hazardous Fuels Reduction 2014 AZ,,Lat/long is centroid of polygon,0.00461905661950368,0.257622009639833
4309,1,1069,3383,2,3041,FS1096,,,,,2014,5/15/2014,-120.9107013,42.39279391,OR,Klamath,FS,Bly Rx Hazardous Fuels Reduction 2014,,FREMONT-WINEMA NATIONAL FORESTS,2244.8163,Maintenance,Fuels,Prescribed Fire,061201 2019 OSB HandMeadow 6,OBSOLETE-Hazardous Fuel Reduction,,,,,,Pollinator,,Bly Rx Hazardous Fuels Reduction 2014 AZ,,Lat/long is centroid of polygon,0.00461905661950368,0.257622009639833
4310,1,1070,6349,5,64.36,MCD2236,,,,2020,,,-112.5407838,42.1949428,ID,Oneida,MCD,Juniper Rest Area EB Sewage Lagoon Area,,,0.542,Maintenance,Increase Milkweed to Enhance Habitat and Nectar Resources,"Other,Herbicide Treatment to Enhance",,,,Idaho Transportation Department,,,,Monarch,,,,lat/long is centroid of county,0.00460629507642807,0.25725583259257
4311,1,1070,6350,5,64.36,MCD2238,,,,2020,,,-112.5407838,42.1949428,ID,Oneida,MCD,Juniper Rest Area WB Sewage Lagoon Area,,,5.701,Maintenance,Increase Milkweed to Enhance Habitat and Nectar Resources,"Herbicide Treatment to Enhance,Other",,,,Idaho Transportation Department,,,,Monarch,,,,lat/long is centroid of county,0.00460629507642807,0.25725583259257
4312,1,1070,7040,5,64.36,MCD2218,,,,2020,,,-112.5407838,42.1949428,ID,Oneida,MCD,Cherry Creek Rest Area,,,35.965,Maintenance,Mitigate Negative Impacts of Herbicide Use on Habitat and Nectar Resources,"Herbicide Treatment to Enhance,Planting,Other",,,,Idaho Transportation Department,,,,Pollinator,,,,lat/long is centroid of county,0.00460629507642807,0.25725583259257
4313,1,1070,7050,5,64.36,MCD2235,,,,2020,,,-112.5407838,42.1949428,ID,Oneida,MCD,Juniper Rest Area EB,,,10.946,Maintenance,Mitigate Negative Impacts of Herbicide Use on Habitat and Nectar Resources,"Other,Herbicide Treatment to Enhance",,,,Idaho Transportation Department,,,,Pollinator,,,,lat/long is centroid of county,0.00460629507642807,0.25725583259257
4314,1,1070,7051,5,64.36,MCD2237,,,,2020,,,-112.5407838,42.1949428,ID,Oneida,MCD,Juniper Rest Area WB,,,11.206,Maintenance,Mitigate Negative Impacts of Herbicide Use on Habitat and Nectar Resources,"Other,Herbicide Treatment to Enhance",,,,Idaho Transportation Department,,,,Pollinator,,,,lat/long is centroid of county,0.00460629507642807,0.25725583259257
4315,1,1071,973,1,185,PADUS358,,,,2017,,,-111.97474703,41.01675438,UT,,PADUS,Great Salt Lake Shorelands,,,185,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00452309870979661,0.254469451560105
4316,1,1072,2939,1,34,PADUS2324,,,,2020,,,-122.88299471,39.12902768,CA,,PADUS,"Agricultural Conservation Easement Program - Wetland Reserve Easements (ACEP-WRE), Lake, California",,,34,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00440158735682417,0.250306347875617
4317,1,1073,8032,3,70.84,ORWRI231,20231,Restoring Habitat Diversity of Mid-Valley Conservation Areas - Evergreen Site,,2013,2017,,-123.38053044,44.51464236,OR,Benton,ORWRI,Lower Muddy Creek,,,32.92,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian trees planted: hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded; Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant ",,Greenbelt Land Trust,,Greenbelt Land Trust,,,,,,lat/long is centroid of county,0.0047823171357777,0.262974489946759
4318,1,1073,8033,3,70.84,ORWRI232,20231,Restoring Habitat Diversity of Mid-Valley Conservation Areas - Evergreen Site,,2013,2017,,-123.38053044,44.51464236,OR,Benton,ORWRI,Lower Muddy Creek,,,32.92,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian trees planted: hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded; Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant ",,Greenbelt Land Trust,,Greenbelt Land Trust,,,,,,lat/long is centroid of county,0.0047823171357777,0.262974489946759
4319,1,1073,9068,3,70.84,ORWRI871,17505,Nelson's Checkermallow Recovery Project Phase II - Lupine Meadows,,2010,2014,,-123.35421623,44.54844366,OR,Benton,ORWRI,Middle Marys River,,,5,Maintenance,Wetland,Wetland invasive plant control,,"Wetland vegetation planted; Wetland treated for non-native or noxious plant species",,AmeriCorps,,AmeriCorps,,,,,,lat/long is centroid of county,0.0047823171357777,0.262974489946759
4320,1,1074,9081,1,3.3,ORWRI884,19044,Eurasian watermilfoil control Howard Prairie Lake & Pacifica,,2014,2015,,-122.40831643,42.23885173,OR,Jackson,ORWRI,Upper Jenny Creek,,,3.3,Maintenance,Wetland,Wetland invasive plant control,"Two waterbodies originally were identified but with a survey completed of adjacent waterways, an additional site was found and treated for same species of aquatic weed",Wetland treated for non-native or noxious plant species,,Jackson County Parks,,Jackson County Parks,,,,,,lat/long is centroid of county,0.00460692836713861,0.257207978425525
4321,1,1075,8748,1,,ORWRI847,19730,RCC Raingardens and Bioswale,,2010,2017,,-123.39209631,42.41009259,OR,Josephine,ORWRI,Gilbert Creek-Rogue River,,,,Restoration,Urban,Sustainable stormwater management,,Bioswales installed,,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00461984004186888,0.257629706151175
4322,1,1076,6067,2,5.822,MCD6,,,,2011,2015,,-122.2372327,40.12557275,CA,Tehama,MCD,PFW-629506,,,5.82,Maintenance,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,"Establish Riparian Herbaceous Cover,Strip Disking/Tillage to Enhance,Protect as Easement,Enroll in WRE and Implement Qualifying CP,Planting",,,Private,United States Fish and Wildlife Service,,,,Monarch,,,,lat/long is centroid of county,0.00446481177186797,0.252447809421679
4323,1,1076,6306,2,5.822,MCD1586,,,,2017,,,-122.2372327,40.12557275,CA,Tehama,MCD,Tehama Conservation Fund (TCF),,,0.002,Enhancement,Increase Milkweed to Enhance Habitat and Nectar Resources,Planting,,,Public,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.00446481177186797,0.252447809421679
4324,1,1077,8289,2,2750,LTDL126,20472,Juni K5MR Fire Emergeny Stabilization and Rehabilitation 2017,50496,2018,,,-116.434146293,42.068541112,ID,Owyhee,LTDL,,,,,Restoration,Seeding,Seedling Planting,Seedling Planting (Shrub/Tree): Hand Planting,Establish sagebrush on land that is priority habitat greater sage-grouse habitat. Re-establish pre-fire shrub\r\ncommunity.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00459511253075107,0.256856519484895
4325,1,1077,8290,2,2750,LTDL127,20472,Juni K5MR Fire Emergeny Stabilization and Rehabilitation 2017,50498,2018,,,-116.434146293,42.068541112,ID,Owyhee,LTDL,,,,2750,Restoration,Seeding,Ground Seeding,Ground Seeding: Broadcast,"Establish perennial plant species dominated communities that are critical for priority habitat for sagegrouse,\r\nand will out-compete noxious weeds and invasive species.",Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00459511253075107,0.256856519484895
4326,1,1078,4062,2,,LTDL270,21439,Helena Fire Emergency Stabilization and Rehabilitation 2017,55303,2017,,,-123.061392681,40.7718436490001,CA,Trinity,LTDL,,,,,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds,Control non-native plant species.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00450717605053796,0.253869459610153
4327,1,1078,7768,2,,LTDL271,21439,Helena Fire Emergency Stabilization and Rehabilitation 2017,55306,2017,,,-123.061392681,40.7718436490001,CA,Trinity,LTDL,,,,,Restoration,Prescribed Burn,Prescribed Burn,Prescribed Burn: Pile Burn,Slash removal,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00450717605053796,0.253869459610153
4328,1,1079,1059,6,619,PADUS444,,,,2020,,,-124.05303414,42.64658756,OR,,PADUS,"Rutledge, Carolyn R.",,,39,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,Conservation Easement,lat/long is centroid of county,0.00463695854068646,0.258192033965057
4329,1,1079,1060,6,619,PADUS445,,,,2020,,,-124.05303414,42.64658756,OR,,PADUS,"Schneider, Earnest",,,39,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,Conservation Easement,lat/long is centroid of county,0.00463695854068646,0.258192033965057
4330,1,1079,1067,6,619,PADUS452,,,,2020,,,-124.05416101,42.62742935,OR,,PADUS,"Seely, Hall",,,129,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,Conservation Easement,lat/long is centroid of county,0.00463695854068646,0.258192033965057
4331,1,1079,1072,6,619,PADUS457,,,,2020,,,-124.05272042,42.62431502,OR,,PADUS,Trussell Tract 215,,,1,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,,lat/long is centroid of county,0.00463695854068646,0.258192033965057
4332,1,1079,1099,6,619,PADUS484,,,,2020,,,-124.04326999,42.64011774,OR,,PADUS,"Fitzstephens, William",,,325,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,Conservation Easement,lat/long is centroid of county,0.00463695854068646,0.258192033965057
4333,1,1079,1100,6,619,PADUS485,,,,2020,,,-124.05241372,42.62681841,OR,,PADUS,"Fitzstephens, William",,,86,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,Conservation Easement,lat/long is centroid of county,0.00463695854068646,0.258192033965057
4334,1,1080,6901,4,12,FS580,,,,,2017,8/3/2017,-121.9506338,44.19909215,OR,Lane,FS,1801-Fingerboard Prairie,,WILLAMETTE NATIONAL FOREST,7.8571,Restoration,Meadow,Meadow Restoration,061208 2019 Drift Ck Oxbow Meadow,Payments to States/Title-2,,,,,,Pollinator,,1801-Fingerboard Prairie 2017 clearing HAB AZ,,Lat/long is centroid of polygon,0.00475687128255231,0.26215777013404
4335,1,1080,6902,4,12,FS581,,,,,2017,8/3/2017,-121.9506338,44.19909215,OR,Lane,FS,1801-Fingerboard Prairie,,WILLAMETTE NATIONAL FOREST,3.1429,Restoration,Meadow,Meadow Restoration,061208 2019 Tenmile Meadow 1,Reimbursables - NFS - External (non-Federal),,,,,Rocky Mountain Elk Foundation,Pollinator,,1801-Fingerboard Prairie 2017 clearing HAB AZ,,Lat/long is centroid of polygon,0.00475687128255231,0.26215777013404
4336,1,1080,9176,4,12,FS71,,,,,2016,10/20/2016,-121.9386835,44.19831639,OR,Lane,FS,061801 Bear Ponds,,WILLAMETTE NATIONAL FOREST,0.5,Enhancement,Wildlife,Maintain Openings,ELETE-Rx Fire WIT training,Payments to States/Title-2,,,,,,Pollinator,,061801 Bear Ponds Clearing 2017 HAB AZ,,Lat/long is centroid of polygon,0.00475687128255231,0.26215777013404
4337,1,1080,9177,4,12,FS72,,,,,2016,10/20/2016,-121.9386835,44.19831639,OR,Lane,FS,061801 Bear Ponds,,WILLAMETTE NATIONAL FOREST,0.5,Enhancement,Wildlife,Maintain Openings,060404 District Pollinator Garden,Reimbursables - NFS - External (non-Federal),,,,,Rocky Mountain Elk Foundation,Pollinator,,061801 Bear Ponds Clearing 2017 HAB AZ,,Lat/long is centroid of polygon,0.00475687128255231,0.26215777013404
4338,1,1081,8559,1,1408,ORWRI652,19588,Warner Valley Noxious Weed Control,,2016,2017,,-119.88462206,42.38530764,OR,Lake,ORWRI,Hart Lake,,,1408,Maintenance,Upland,Upland invasive plant control,Treated a small portion of the total acres of Russian knapweed found,"Upland treated for non-native or noxious plant species; Wetland treated for non-native or noxious plant species",,Lake County Cooperative Weed Management Area,,Lake County Cooperative Weed Management Area,,,,,,lat/long is centroid of county,0.00461667671879695,0.257550372521414
4339,1,1082,8605,1,208,ORWRI698,20000,Hay Creek Upland Enhancement,,2018,2018,,-120.71653838,42.17771669,OR,Lake,ORWRI,Hay Creek,,,208,Maintenance,Upland,Upland vegetation management,,"Upland treated for juniper by clearing, burning, thinning, or removal",,ODF,,ODF,,,,,,lat/long is centroid of county,0.0046036602075219,0.257111590466901
4340,1,1083,1178,1,2024,PADUS563,,,,2020,,,-113.58644146,43.64003196,ID,,PADUS,"Grassland Reserve Program (GRP), Butte, Idaho",,,2024,Conservation,Easement,GAP Status- 2,,,PVT,Admin State ID,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00471216559071763,0.260762382174055
4341,1,1084,1287,1,348,PADUS672,,,,2020,,,-111.51709838,42.90444797,ID,,PADUS,"Grassland Reserve Program (GRP), Caribou, Idaho",,,348,Conservation,Easement,GAP Status- 2,,,PVT,Admin State ID,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00465747952102902,0.258967055488856
4342,1,1085,8042,1,3,ORWRI243,20004,Periwinkle Creek Confluence Restoration Phase 1-Bowman Park,,2016,2018,,-123.0883443,44.64247558,OR,Linn,ORWRI,Truax Creek-Willamette River,,,3,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian trees planted: conifer and hardwood",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00479219157887201,0.263298697018844
4343,1,1086,8978,1,0,FS2132,,,,2021,2021,,-113.175811312,42.148119393,ID,Cassia,FS,041401_Willow_plant_Kel_2021,,SAWTOOTH NATIONAL FOREST,0,Restoration,Veg Mgmt,Planting,,041401_Willow_plant_Kel_2021,,Forest Service,Forest Service,,,,,,,lat/long is centroid of county,0.00460233590274584,0.257119452036853
4344,1,1087,2550,2,1300,PADUS1935,,,,2020,,,-120.59631626,37.16246398,CA,,PADUS,Grasslands Wildlife Management Area,,,707,Conservation,Easement,GAP Status- 2,,,UNK,C,,,,,,,,lat/long is centroid of county,0.00428401890667374,0.24630864837277
4345,1,1087,2797,2,1300,PADUS2182,,,,2020,,,-120.59326482,37.14694444,CA,,PADUS,"Wetlands Reserve Program (WRP), Merced, California",,,593,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00428401890667374,0.24630864837277
4346,1,1088,1088,1,87,PADUS473,,,,2020,,,-124.00033571,42.67894838,OR,,PADUS,"Norflect, Bill",,,87,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 06 - Pacific Northwest Region,,,,,,,Conservation Easement,lat/long is centroid of county,0.00464031392175457,0.2583036077449
4347,1,1089,3093,2,4080,PADUS2478,,,,2017,,,-123.62830034,39.73271747,CA,,PADUS,Northern California Coast Range Preserve Macrosite Easement,,,3919,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,Conflict with another TNC polygon,lat/long is centroid of county,0.00443874766597219,0.251560412217614
4348,1,1089,3094,2,4080,PADUS2479,,,,2017,,,-123.65484995,39.73200956,CA,,PADUS,Northern California Coast Range Preserve Macrosite Easement,,,161,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00443874766597219,0.251560412217614
4349,1,1090,4029,2,300,LTDL197,18412,Hot Pot KDC1 Wildfire 2016,52465,2017,,,-116.90877922,41.0722590240001,NV,Elko,LTDL,,,,,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,To inventory and treat infestations of new and existing noxious weeds for the management of the\r\npublic lands in accordance with Federal Regulations.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00452765009003997,0.254594300851122
4350,1,1090,4030,2,300,LTDL198,18412,Hot Pot KDC1 Wildfire 2016,52466,2018,,,-116.90877922,41.0722590240001,NV,Elko,LTDL,,,,300,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,To inventory and treat infestations of new and existing noxious weeds for the management of the\r\npublic lands in accordance with Federal Regulations.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00452765009003997,0.254594300851122
4351,1,1091,7812,7,9.03,ORWRI353,20807,South Scappoose Creek Stream Restoration,,2018,2019,,-122.88349949,45.75666369,OR,Columbia,ORWRI,South Scappoose Creek,,,2.1,Enhancement,Riparian,Riparian tree planting,,Riparian trees planted: conifer and hardwood,,BPA,,BPA,,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4352,1,1091,7816,7,9.03,ORWRI357,20815,Lower Columbia Estuary Partnership 2017-2019 Funding - South Scappoose Creek Planting Site,,2017,2019,,-122.88263553,45.75917361,OR,Columbia,ORWRI,South Scappoose Creek,,,0.25,Enhancement,Riparian,Riparian tree planting,,Riparian trees planted: conifer and hardwood,,City of Scappoose,,City of Scappoose,,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4353,1,1091,7989,7,9.03,ORWRI181,19603,Springlake Community Pond Restoration,,2016,2017,,-122.87026921,45.74237124,OR,Columbia,ORWRI,Gilbert River-Frontal Columbia River,,,0.5,Maintenance,Riparian,Riparian invasive plant control,Invasive plant species were removed in the fall of 2016 through mechanical means.,"Riparian invasive plant control, Riparian tree planting, Riparian vegetation planting",,Scappoose Bay Watershed Council,,Scappoose Bay Watershed Council,,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4354,1,1091,8098,7,9.03,ORWRI308,20624,Scappoose Creek Garlic Mustard Control,,2018,2019,,-122.86926657,45.77642931,OR,Columbia,ORWRI,Scappoose Creek,,,,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,"Ash Creek Forest Management, LLC",,"Ash Creek Forest Management, LLC",,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4355,1,1091,8099,7,9.03,ORWRI309,20624,Scappoose Creek Garlic Mustard Control,,2018,2019,,-122.86926657,45.77642931,OR,Columbia,ORWRI,Scappoose Creek,,,,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,"Ash Creek Forest Management, LLC",,"Ash Creek Forest Management, LLC",,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4356,1,1091,8161,7,9.03,ORWRI386,22191,Scappoose Creek Garlic Mustard Control,,2019,2019,,-122.87433454,45.7727971,OR,Columbia,ORWRI,Scappoose Creek,,,3.09,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian shrubs or herbaceous vegetation planted/reseeded; Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,Columbia County,,Columbia County,,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4357,1,1091,8162,7,9.03,ORWRI387,22191,Scappoose Creek Garlic Mustard Control,,2019,2019,,-122.87433454,45.7727971,OR,Columbia,ORWRI,Scappoose Creek,,,3.09,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Riparian shrubs or herbaceous vegetation planted/reseeded; Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,Columbia County,,Columbia County,,,,,,lat/long is centroid of county,0.00488721401507064,0.266376918040456
4358,1,1092,3020,2,2163,PADUS2405,,,,2017,,,-121.35171871,36.25385052,CA,,PADUS,Arroyo Seco Easement,,,1362,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00423489570812308,0.244622626279743
4359,1,1092,3021,2,2163,PADUS2406,,,,2017,,,-121.33915976,36.25369974,CA,,PADUS,Arroyo Seco Easement,,,801,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00423489570812308,0.244622626279743
4360,1,1093,8232,2,63,ORWRI462,22794,Lower Grass Valley Canyon Weed Control,,2020,2020,,-120.5107984,45.55091877,OR,Sherman,ORWRI,Lower Grass Valley Canyon,,,31.5,Maintenance,Riparian,Riparian invasive plant control,"31.5 net acres treated for bull thistle, Canada thistle, diffuse knapweed, puncture vine, Russian knapweed, Scotch thistle, and rush skeletonweed. ","Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00487011070663357,0.265851562021119
4361,1,1093,8233,2,63,ORWRI463,22794,Lower Grass Valley Canyon Weed Control,,2020,2020,,-120.5107984,45.55091877,OR,Sherman,ORWRI,Lower Grass Valley Canyon,,,31.5,Maintenance,Riparian,Riparian invasive plant control,"31.5 net acres treated for bull thistle, Canada thistle, diffuse knapweed, puncture vine, Russian knapweed, Scotch thistle, and rush skeletonweed. ","Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.00487011070663357,0.265851562021119
4362,1,1094,927,2,58,PADUS312,,,,2020,,,-109.96214455,37.6066196,UT,,PADUS,Natural Bridges National Monument,,,18,Conservation,Easement,GAP Status- 2,,,UNK,UNK,,,,,,,Natural Bridges National Monument,lat/long is centroid of county,0.00431071430602969,0.247257292745557
4363,1,1094,928,2,58,PADUS313,,,,2020,,,-109.98809493,37.61002399,UT,,PADUS,Natural Bridges National Monument,,,40,Conservation,Easement,GAP Status- 2,,,UNK,UNK,,,,,,,Natural Bridges National Monument,lat/long is centroid of county,0.00431071430602969,0.247257292745557
4364,1,1095,2621,2,1577,PADUS2006,,,,2020,,,-120.139038,36.55750166,CA,,PADUS,"Wetlands Reserve Program (WRP), Fresno, California",,,512,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00425392634360833,0.245279066465469
4365,1,1095,2624,2,1577,PADUS2009,,,,2020,,,-120.15641116,36.55380385,CA,,PADUS,"Wetlands Reserve Program (WRP), Fresno, California",,,1065,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00425392634360833,0.245279066465469
4366,1,1096,3294,2,718,FS1007,,,,,2017,5/15/2017,-121.1609738,42.41691687,OR,Klamath,FS,BlyRidgeWui UB,,FREMONT-WINEMA NATIONAL FORESTS,531.32,Maintenance,Fuels,Prescribed Fire,R060105 Bridge 99 Plant FY18,Payments to States/Title-2,,,,,,Pollinator,,BlyRidge Wui UB,,Lat/long is centroid of polygon,0.00462255748516327,0.257736472683275
4367,1,1096,3295,2,718,FS1008,,,,,2017,5/15/2017,-121.1609738,42.41691687,OR,Klamath,FS,BlyRidgeWui UB,,FREMONT-WINEMA NATIONAL FORESTS,186.68,Maintenance,Fuels,Prescribed Fire,061208 2019 Tenmile Meadow 1,OBSOLETE-Hazardous Fuel Reduction,,,,,,Pollinator,,BlyRidge Wui UB,,Lat/long is centroid of polygon,0.00462255748516327,0.257736472683275
4368,1,1097,3800,1,7.5,FS1520,,,,,2018,8/20/2018,-116.8931644,45.13180543,OR,Wallowa,FS,061604HCNRA,,WALLOWA WHITMAN NATIONAL FOREST,7.5,Maintenance,Fuels,Prescribed Fire,061604HCNRA,OBSOLETE-Hazardous Fuel Reduction,,,,,,Pollinator,,061604HCNRA,,Lat/long is centroid of polygon,0.00483025397170422,0.264599423472616
4369,1,1098,3933,1,,LTDL183,20573,,51126,2015,,,-112.244107166,40.260020221,UT,Tooele,LTDL,,,,,Maintenance,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,Minimize noxious weeds in the burned area. Not more that one noxious weed per acre.,Federal,BLM,BLM,,,,,,"2015: The noxious weed objective was achieved. Ongoing noxious weed surveys and follow-up treatments, if necessary, should continue in cooperation with partner agencies and organizations in the surrounding areas.",lat/long is centroid of county,0.00447458236976672,0.252830727648408
4370,1,1099,530,1,0.881,OSU4,,,,2019,2019,,-123.075561,43.681512,OR,Lane,OSU,,,,0.881,Enhancement,,Planting,,OSU established pollinator forage (forb seeds and bare root shrubs) on Ligon private property within clearcut along forest edge,,,,,,Pollinator,"forbs, bare root shrubs",,,area calculated from digitized polygons,0.0047156717478174,0.26079716345681
4371,1,1100,1629,3,9,PADUS1014,,,,2010,,,-117.84607476,45.70854522,OR,,PADUS,Lookingglass Fish Hatchery,,,9,Conservation,Easement,GAP Status- 2,,,PVT,U.S. Fish and Wildlife Service,,,,,,, ,lat/long is centroid of county,0.00488232767247609,0.266275211702538
4372,1,1100,1631,3,9,PADUS1016,,,,2010,,,-117.86444048,45.7334528,OR,,PADUS,Lookingglass Fish Hatchery,,,0,Conservation,Easement,GAP Status- 2,,,PVT,U.S. Fish and Wildlife Service,,,,,,, ,lat/long is centroid of county,0.00488232767247609,0.266275211702538
4373,1,1100,1672,3,9,PADUS1057,,,,2010,,,-117.86244744,45.73075425,OR,,PADUS,Lookingglass Fish Hatchery,,,0,Conservation,Easement,GAP Status- 2,,,PVT,U.S. Fish and Wildlife Service,,,,,,, ,lat/long is centroid of county,0.00488232767247609,0.266275211702538
